25/04/20 16:43:42.449 [1996220576] ERROR parScreenLog - Can't open pid file /var/run/par/par_screend.pid for writing. Reason: No such file or directory
25/04/20 16:43:42.450 [1996220576] INFO  parScreenLog - par_screen v0.2 started as app
25/04/20 16:43:42.450 [1996220576] INFO  parScreenLog - Showing default image
25/04/20 16:43:42.451 [1996220576] DEBUG parScreenLog - default image size = 32x32
25/04/20 16:43:42.452 [1996220576] TRACE parScreenLog - Default image preparation time = 1824099
25/04/20 16:43:42.453 [1996220576] DEBUG parScreenLog - default image size = 32x32
25/04/20 16:43:42.461 [1996220576] DEBUG parScreenLog - Default image draw time = 8925965 32x32
25/04/20 16:43:47.710 [1996220576] DEBUG parScreenLog - Missing parts 1
25/04/20 16:43:47.711 [1996220576] TRACE parScreenLog - part: [0, 2111879
25/04/20 16:43:48.757 [1996220576] DEBUG parScreenLog - Missing parts 1
25/04/20 16:43:48.758 [1996220576] TRACE parScreenLog - part: [0, 2111879
25/04/20 16:43:49.795 [1996220576] DEBUG parScreenLog - Missing parts 1
25/04/20 16:43:49.795 [1996220576] TRACE parScreenLog - part: [0, 2111879
25/04/20 16:43:50.828 [1996220576] DEBUG parScreenLog - Missing parts 1
25/04/20 16:43:50.828 [1996220576] TRACE parScreenLog - part: [0, 2111879
25/04/20 16:43:51.863 [1996220576] DEBUG parScreenLog - Missing parts 1
25/04/20 16:43:51.863 [1996220576] TRACE parScreenLog - part: [0, 2111879
25/04/20 16:43:52.877 [1996220576] INFO  parScreenLog - Application is shutting down...
25/04/20 16:45:42.604 [1995847840] INFO  parScreenLog - Loading settings...
25/04/20 16:45:42.606 [1995847840] INFO  parScreenLog - Loading settings complete
25/04/20 16:45:42.606 [1995847840] DEBUG parScreenLog - Listening on 48545
25/04/20 16:45:42.607 [1995847840] DEBUG parScreenLog - rgb = RGB
25/04/20 16:45:42.608 [1995847840] DEBUG parScreenLog - led_matrix: size = 32x32. Hardware gpio mapping: regular
25/04/20 16:45:42.712 [1995847840] ERROR parScreenLog - Can't open pid file /var/run/par/par_screend.pid for reading
25/04/20 16:45:42.712 [1995847840] ERROR parScreenLog - Can't open pid file /var/run/par/par_screend.pid for writing. Reason: No such file or directory
25/04/20 16:45:42.712 [1995847840] INFO  parScreenLog - par_screen v0.2 started as app
25/04/20 16:45:42.713 [1995847840] INFO  parScreenLog - Showing default image
25/04/20 16:45:42.713 [1995847840] DEBUG parScreenLog - default image size = 32x32
25/04/20 16:45:42.714 [1995847840] TRACE parScreenLog - Default image preparation time = 1481707
25/04/20 16:45:42.714 [1995847840] DEBUG parScreenLog - default image size = 32x32
25/04/20 16:45:42.724 [1995847840] DEBUG parScreenLog - Default image draw time = 9514039 32x32
25/04/20 16:45:46.212 [1995847840] DEBUG parScreenLog - File with such name exists, but hash differs
25/04/20 16:45:46.229 [1995847840] DEBUG parScreenLog - File with such name exists, but hash differs
25/04/20 16:45:46.247 [1995847840] DEBUG parScreenLog - File with such name exists, but hash differs
25/04/20 16:45:58.128 [1995847840] DEBUG parScreenLog - Missing parts 1
25/04/20 16:45:58.128 [1995847840] TRACE parScreenLog - part: [0, 2111879
25/04/20 16:45:59.164 [1995847840] DEBUG parScreenLog - Missing parts 1
25/04/20 16:45:59.164 [1995847840] TRACE parScreenLog - part: [0, 2111879
25/04/20 16:46:00.198 [1995847840] DEBUG parScreenLog - Missing parts 1
25/04/20 16:46:00.198 [1995847840] TRACE parScreenLog - part: [0, 2111879
25/04/20 16:46:01.232 [1995847840] DEBUG parScreenLog - Missing parts 1
25/04/20 16:46:01.232 [1995847840] TRACE parScreenLog - part: [0, 2111879
25/04/20 16:46:02.267 [1995847840] DEBUG parScreenLog - Missing parts 1
25/04/20 16:46:02.267 [1995847840] TRACE parScreenLog - part: [0, 2111879
25/04/20 16:46:03.300 [1995847840] DEBUG parScreenLog - Missing parts 1
25/04/20 16:46:03.300 [1995847840] TRACE parScreenLog - part: [0, 2111879
25/04/20 16:46:04.333 [1995847840] DEBUG parScreenLog - Missing parts 1
25/04/20 16:46:04.334 [1995847840] TRACE parScreenLog - part: [0, 2111879
25/04/20 16:46:05.366 [1995847840] DEBUG parScreenLog - Missing parts 1
25/04/20 16:46:05.366 [1995847840] TRACE parScreenLog - part: [0, 2111879
25/04/20 16:46:06.403 [1995847840] DEBUG parScreenLog - Missing parts 1
25/04/20 16:46:06.403 [1995847840] TRACE parScreenLog - part: [0, 2111879
